Group_Id (i)	Y_ij
1	-2.052407536
1	-0.915766814
1	-1.68405066
1	-3.520512821
2	-1.967359299
2	-3.946414914
3	-0.305551949
3	-0.267540253
3	-2.880349112
3	-2.420182315
3	-2.14047733
4	-5.887807028
4	-1.059619086
4	-3.022194508
5	-0.77110481
5	-3.055826966
5	-3.241527632
5	-3.656433267
5	-3.874460093
5	-0.793892094
6	-2.403831255
6	-3.08622142
6	-4.253483003
6	-2.286301376
6	-2.405649898
7	0.115161499
7	0.268836642
7	0.05258698
8	-0.045162597
8	-1.263442414
8	-1.127220442
8	-0.710284695
8	-0.220748003
8	2.687438819
9	-2.820174595
9	-1.138618467
9	-1.128031832
10	-5.370729747
10	-5.361611539
10	-5.123625785
10	-5.84001898
10	-5.26217606
10	-4.627434864
11	-1.639506303
11	-2.85602839
11	-3.615805975
11	-5.950897496
11	-4.035669509
12	-1.217116185
12	-3.921774862
12	-1.03433369
12	-2.545096781
12	-3.592583689
13	-0.883262655
13	-2.776999386
14	-0.291550418
14	-0.642325954
14	-0.966072459
15	-3.130526362
15	0.439571347
15	-1.13527784
15	-0.54805401
15	0.550413711
16	-4.303160333
16	-1.876440407
16	-1.252449591
16	-6.193480175
16	-1.906350108
17	-3.716615407
17	-2.234822113
17	-3.373088673
17	-3.81429115
18	-5.299049053
18	-5.1957597
19	-2.756492465
19	-2.252686715
19	0.007472978
19	-1.295045068
19	-1.835324984
19	-0.359116603
20	-1.004407577
20	0.282054932
20	-1.493586827
