Parameter,low,median,high
mu_group[1],-3.234808671919996,-2.0742230247864017,-0.9330948499288234
mu_group[2],-4.340332514085433,-2.7289058817836165,-1.2155884928416207
mu_group[3],-2.758382438908062,-1.7011484698036181,-0.6568179821395325
mu_group[4],-4.363540228327527,-3.068568074877891,-1.7429217032231805
mu_group[5],-3.4834550615515387,-2.5203754089776567,-1.539178688924201
mu_group[6],-3.8418341480299216,-2.7983602053940886,-1.752023078003575
mu_group[7],-1.7182451295175638,-0.4183205533872687,0.8417620539883012
mu_group[8],-1.4232993426263572,-0.3997526662741686,0.6446738588903265
mu_group[9],-3.169223453224079,-1.8131458770919755,-0.5094175325118518
mu_group[10],-5.8766517407796615,-4.8668819321799965,-3.8328404401847433
mu_group[11],-4.450593146834654,-3.388069515441833,-2.336186399900624
mu_group[12],-3.4691154589230617,-2.428370646472551,-1.3745565380143345
mu_group[13],-3.4753187100230485,-1.9415705089921973,-0.41833765810911433
mu_group[14],-2.3130757578625047,-1.0116801739516472,0.27935344949031515
mu_group[15],-2.0868026799272523,-1.0179148066998138,0.054942437125437386
mu_group[16],-4.059230079773354,-2.976864559780954,-1.9072157378595647
mu_group[17],-4.166787711393963,-3.083857564715792,-1.926219849879256
mu_group[18],-5.9175691518723506,-4.3058991751248685,-2.702042065363614
mu_group[19],-2.5134090922451855,-1.5175297305035125,-0.5814169540366457
mu_group[20],-2.467455762423142,-1.0733753944365927,0.2922043006561418
mu_overall,-2.95314501102835,-2.2559398732067013,-1.5663209922498769
sigma,1.1008207911650112,1.2922771176130294,1.552426620403106
sigma_mu,0.91803964577106,1.3932792942606138,2.124094263658365
